Date,Open,High,Low,Close,Volume,Variation
2022-06-01,24.44,24.35,24.70,24.31,46020000.00,-0.13
2022-06-02,24.23,24.40,24.47,24.06,50250000.00,-0.87
2022-06-03,24.66,24.19,24.79,24.05,60200000.00,1.75
2022-06-06,24.67,24.84,24.86,24.36,38950000.00,0.07
2022-06-07,24.97,24.58,25.49,24.56,79940000.00,1.19
2022-06-08,24.84,24.77,25.37,24.70,65720000.00,-0.49
2022-06-09,24.49,24.84,24.97,24.41,53700000.00,-1.44
2022-06-10,24.14,24.44,24.44,23.66,62630000.00,-1.40
2022-06-13,23.83,23.63,24.09,23.35,64360000.00,-1.28
2022-06-14,24.10,24.15,24.63,23.81,68570000.00,1.13
2022-06-15,23.68,24.43,24.44,23.48,72190000.00,-1.76
2022-06-17,22.24,22.94,23.17,21.28,183270000.00,-6.09
2022-06-20,22.49,21.19,23.00,21.10,92330000.00,1.14
2022-06-21,22.04,22.64,22.93,21.73,84680000.00,-1.99
2022-06-22,21.98,21.64,22.43,21.49,57650000.00,-0.30
2022-06-23,21.57,21.97,22.30,21.27,68920000.00,-1.85
2022-06-24,21.41,21.79,22.06,21.32,53090000.00,-0.75
2022-06-27,22.78,21.84,22.86,21.71,90060000.00,6.43
2022-06-28,23.07,23.27,23.48,22.82,51240000.00,1.25
2022-06-29,22.87,23.19,23.47,22.67,51270000.00,-0.88
